ἆ|ah!
ἀγχιγείτων|neighbouring
ἀγχίγυος|neighbouring
ἀγχίδομος|dwelling near
ἀγχιθάλασσος|near the sea
ἀγχίθεος|near the gods
ἀγχιθυρέω|to be at the door, be close at hand
ἀγχίθυρος|next door
ἀγχικέλευθος|whose way is hard by
ἀγχίκρημνος|near the cliffs
ἀγχίκρηνος|from a neighbouring spring
ἀγχιλεχής|close to the bed
ἀγχίλωψ|swelling which obstructs the lachrymal duct
ἀγχιμολέω|come nigh
ἀγχίμολος|coming near
ἀγχινεφής|near the clouds
ἀγχίνοια|readiness of mind, ready wit, sagacity
ἀγχίνοος|ready of wit, sagacious, shrewd
ἀγχίπλοος|near by sea
ἀγχίπολις|near the city, dwelling hard by
ἀγχίπορος|passing near, always near
ἀγχίπους|near with the foot, near
ἀγχίπτολις|near the city, dwelling hard by
ἀγχίρροος|flowing near
ἀγχίσπορος|near of kin
ἀγχιστεία|nearness of kin
ἀγχιστεῖα|nearness of kin
ἀγχιστεύς|closely akin
ἀγχιστευτικός|of the ἀγχιστεύς
ἀγχιστεύω|to be next or near
ἀγχιστήρ|one who brings near, the immediate author
ἀγχιστικός|belonging to the ἀγχιστεία
ἀγχιστίνδην|within the near kin
ἀγχιστῖνος|close together, crowded, in heaps
ἄγχιστος|nearest
ἀγχίστροφος|turning closely, quick-wheeling
ἀγχιτελής|near its wane
ἀγχιτέρμων|near the borders, neighbouring
ἀγχίτοκος|in the pangs of child-birth
ἀγχιτόκος|near the birth
ἀγχιφανής|appearing close at hand
ἀγχίφυτος|growing hard by
ἀγχίων|nearer
ἀγχόθεν|from nigh at hand
ἀγχόθι|near
ἀγχομαι|strangle oneself before
ἀγχόμορος|neighbouring
ἀγχονάω|strangle
ἀγχόνη|a throttling, strangling, hanging
ἀγχονίζω|strangle
ἀγχόνιος|fit for strangling
ἀγχονιστής|hangman
ἀγχόσε|coming near
ἀγχοτάτω|nearest, next
ἀγχότερος|nearer
ἀγχοῦ|near, nigh
ἀγχοῦρος|dawn
ἄγχουρος|neighbouring
ἄγχουρος2|gold
ἄγχουσα|alkanet, Anchusa tinctoria
ἀγχουσίζομαι|rouge
ἄγχραν|anoint
ἄγχω|to compress, press tight
ἀγχώμαλος|nearly equal
ἄγω|to lead
ἀγωγαῖος|fit for leading by
ἀγωγεῖον|pander's house
ἀγωγεύς|one that draws
ἀγωγή|a carrying away, carriage
ἀγωγικά|expenses of transport
ἀγώγιμος|easy to be led
ἀγώγιον|the load of a wagon
ἀγωγός|leading
ἀγών|a gathering; a contest, a struggle, a trial
ἀγωνάρχης|judge of a contest
ἀγωνία|a contest, struggle for victory
ἀγωνιάτης|nervous person
ἀγωνιάω|to contend eagerly, struggle
ἀγωνίζομαι|to contend for a prize
ἀγωνικός|fit for contest
ἀγώνιος|of the contest
ἀγώνιος2|without angle
ἀγώνισις|contest for a prize
ἀγώνισμα|a contest
ἀγωνισμός|rivalry
ἀγωνιστέον|one must contend
ἀγωνιστήριος|place of assembly
ἀγωνιστής|competitor in the games, combatant
ἀγωνιστικός|fit for contest
ἀγωνοδίκης|judge of the contest
ἀγωνοθεσία|office of ἀγωνοθέτης
ἀγωνοθετέω|to direct the games, exhibit them
ἀγωνοθέτης|judge of the contests, director of the games
ἀγωνοθετικός|of/for the direction of the games
ἀγωνολογία|laborious discussion
ἄγωνος|without angle
ἄγωνος2|[Aeol. and Elian > ἀγών]
ἀγωνότριψ|frequenting declamations
ἄδᾳδος|without resin
ἀδᾳδούχητος|not lighted by torches
ἀδαημονία|ignorance
ἀδαημονίη|want of knowledge
ἀδαήμων|unknowing, ignorant of
ἀδαής|unknowing how
ἀδάητος|unknown
ἀδαίδαλτος|not carved, plain
ἀδαίετος|undivided
ἀδάϊκτος|undestroyed
ἀδαῖος|producing surfeit
ἄδαιτος|of which none might eat
ἀδαίτρευτος|for which nothing has been slain
ἄδαιτρος|undivided
ἄδακρυς|tearless
ἀδακρυτί|without tears
ἀδάκρυτος|without tears
ἀδαμάντινος|adamantine
ἀδαμαντόδετος|iron-bound
ἀδαμαντοπέδιλος|on a base of adamant
ἀδάμας|the untamed, unconquerable: steel, diamond
ἀδαμαστί|unconquerably
ἀδάμαστος|inflexible
ἀδάματος|unconquered
ἀδάνειστος|not pledged as security
ἀδάπανος|without expense, costing nothing
ἀδάρκη|salt efflorescence on the herbage of marshes
ἄδαρτος|unflayed: not cudgelled
ἄδασμος|tribute-free
ἄδαστος|undivided
ἀδαχέω|scratch
ἄδδιξ|measure of four
ἀδεαλτόω|erase, deface
ἀδεής|without fear, fearless; causing no fear
ἀδεής2|not in want
ἀδέητος|not wanting a thing
ἄδεια|freedom from fear: safe conduct, indemnity
ἄδεια2|abundance, plenty
Ἀδειγάνες|name of certain Seleucian magistrates
ἀδειγμάτιστος|without a sample
ἄδεικτος|not shown, invisible
ἄδειλος|fearless
ἀδείμαντος|fearless, dauntless
ἄδειμος|fearless
ἄδειπνος|supperless
ἀδεισιβόας|not fearing the battle-cry
ἀδεισιδαιμονία|freedom from superstition
ἀδεισιδαίμων|without superstition
ἀδεισίθεος|impious
ἀδέκαστος|unbribed
ἀδεκάτευτος|not tithed, tithe-free
ἄδεκτος|not receptive
ἀδελφεός|brother
ἀδελφή|a sister
ἀδελφιδέος|a brother’s or sister’s son, a nephew
ἀδελφιδῆ|a brother’s or sister’s daughter, a niece
ἀδελφίζω|adopt as a brother, call brother
ἀδελφικός|brotherly
ἀδέλφιξις|brotherhood, close connexion
ἀδέλφιον|dim. of ἀδελφός, brother
ἀδελφίς|date
ἀδελφοδότης|bestowing brothers
ἀδελφόθεν|germanitus
ἀδελφοκτονέω|to be murderer of a brother
ἀδελφοκτονία|murder of a brother
ἀδελφοκτόνος|murdering a brother
ἀδελφομιξία|marriage of brother and sister
ἀδελφόπαις|brother's
ἀδελφοποιός|adopting as a brother
ἀδελφοπρεπῶς|as befits a brother
ἀδελφός|(of the same mother) brother; adj brotherly, sisterly, akin
ἀδελφότης|the brotherhood
ἀδέμνιος|unwedded to
ἄδενδρος|without trees
ἀδενοειδής|glandular
ἀδέξιος|left-handed, awkward
ἀδερκής|unseen, invisible
ἄδερκτος|not seeing
ἀδέρματος|withoutskin
ἄδεσμος|unfettered, unbound
ἀδέσποτος|without master
ἄδετος|unbound, free
ἀδευκής|not sweet, bitter, cruel
ἀδέψητος|untanned
ἀδέω|satio
ἀδήϊος|unmolested, unravaged
ἄδηκτος|unbitten, not gnawed
ἀδηλέω|to be in the dark about
ἀδήλητος|unhurt
ἀδηλία|uncertainty
ἀδηλοποιέω|make unseen
ἀδηλοποιός|making unseen
ἄδηλος|not seen
ἀδηλότης|uncertainty
ἀδηλόφλεβος|with inconspicuous veins
ἀδηλόω|render invisible
ἀδημιούργητος|not fashioned
ἀδημοκράτητος|not democratic
ἀδημονέω|to be sorely troubled
ἀδημονία|trouble, distress
ἀδήμων|sore-troubled
ἀδήν|gland
ἅδην|to satiety
ἄδην|to satiety, to excess;
ἀδηνής|ignorant, inexperienced
ἄδηρις|without strife
ἀδήριτος|without strife
ᾍδης|Hades, the underworld; death
ἀδηφαγέω|to be greedy
ἀδηφαγία|gluttony
ἀδηφάγος|eating one's fill, gluttonous
ἀδῄωτος|not ravaged
ἀδιάβατος|not to be passed
ἀδιαβεβαίωτος|unconfirmed
ἀδιαβίβαστος|intransitive
ἀδιάβλητος|not listening to slander
ἀδιάβολος|unexceptionable
ἀδιάγλυπτος|not to be cut through
ἀδιάγλυφος|not hollowed out
ἀδιάγνωστος|indistinguishable
ἀδιάγωγος|impossible to live with
ἀδιάδοχος|without successor, perpetual
ἀδιάδραστος|inevitable
ἀδιάζευκτος|not disjoined, inseparable
ἀδιάθετος|intestate
ἀδιαίρετος|undivided
ἀδιακίνητος|unmoved
ἀδιάκλειστος|not shut off
ἀδιακόνητος|not executed
ἀδιακόντιστος|which no dart can pierce
ἀδιάκοπος|unbroken, uninterrupted
ἀδιακόρευτος|undeflowered, virginal
ἀδιακόσμητος|not set in order
ἀδιακρισία|want of discernment
ἀδιάκριτος|undecided
ἀδιακωλύτως|without hindrance
ἀδιάλειπτος|unintermitting, incessant
ἀδιάλεκτος|without conversation
ἀδιαληπτεύω|to be lacking in comprehension, confused in mind
ἀδιάληπτος|indistinct, confused
ἀδιαληψία|confusion, obscurity
ἀδιάλλακτος|irreconcilable
ἀδιαλόγιστος|unreasoning
ἀδιάλυτος|undissolved, indissoluble
ἀδιαμάρτητος|infallible
ἀδιαμόρφωτος|not fully formed
ἀδιανοησία|inconceivability
ἀδιανοητεύομαι|speak unintelligibly
ἀδιανόητος|unintelligible
ἀδίαντος|unwetted
ἀδιάξεστος|unpolished
ἀδιαπάτητος|untrodden
ἀδιάπαυστος|not to be stilled, incessant, violent
ἀδιάπεπτος|undigested
ἀδιάπλαστος|as yet unformed
ἀδιαπνευστέω|not to evaporate
ἀδιαπνευστία|want of perspiration
ἀδιάπνευστος|not ventilated
ἀδιαπόνητος|undigested
ἀδιαπόρευτος|that cannot be traversed
ἀδιαπτωσία|infallibility
ἀδιάπτωτος|infallible
ἀδιάρθρωτος|not jointed
ἀδιαρίπιστος|not scattered by the winds
ἀδιάρρευστος|non-deliquescent
ἀδιάρρηκτος|not torn in pieces
ἀδιάρροια|constipation
ἀδιάσειστος|not shaken about
ἀδιασκέδαστος|not scattered
ἀδιασκέπτως|inconsiderately
ἀδιάσκευος|unequipt
ἀδιάσκοπος|not perspicuous
ἀδιάσπαστος|not torn asunder, uninterrupted, unbroken
ἀδιάσταλτος|not clearly unfolded
ἀδιαστασία|continuity
ἀδιάστατος|continuous
ἀδιάστικτος|undistinguished, unvarying
ἀδιάστολος|not distinguished
ἀδιάστομος|not currently named
ἀδιαστρέπτως|without turning, continuously
ἀδιάστροφος|incapable of turning
ἀδιάσφαλτος|free from error
ἀδιάσχιστος|not cloven
ἀδιάσωστος|not preserved
ἀδιάτακτος|disorganized
ἀδιάτμητος|not cut in pieces
ἀδιάτρεπτος|not to be turned aside
ἀδιατρεψία|shamelessness
ἀδιατύπωτος|unshapen
ἀδίαυλος|with no way back
ἀδιαφθορία|incorruption, uprightness
ἀδιάφθορος|uncorrupted
ἀδιαφορέω|to be indifferent
ἀδιαφορητικός|like indifference
ἀδιαφόρητος|not evaporating
ἀδιαφορία|indifference
ἀδιάφορος|not different
ἀδιάφρακτος|with no divisions
ἀδιάχυτος|not softened by cooking
ἀδιαχώρητος|without evacuation
ἀδιαχώριστος|unseparated, undistinguished
ἀδιάψευστος|not deceitful
ἀδίδακτος|untaught, ignorant
ἀδιέγγυος|not covered by security
ἀδιέκδυτος|not to be escaped
ἀδιέξακτος|not carried through, undone
ἀδιεξέργαστος|not wrought out
ἀδιεξέταστος|that will not stand examinalion
ἀδιεξήγητος|indescribable
ἀδιεξίτητος|that cannot be exhausted, infinite in extent
ἀδιεξόδευτος|having no outlet
ἀδιέξοδος|unable to get out
ἀδιέργαστος|not wrought out, unfinished
ἀδιερεύνητος|unquestioned
ἀδιευκρίνητος|obscure, lacking in order
ἀδιήγητος|indescribable
ἀδιήθητος|not filtered
ἀδικαιοδότητος|where no justice can be got
ἀδίκαστος|undecided
ἀδίκευσις|wrongdoing
ἀδικέω|to do wrong
ἀδίκημα|a wrong done, a wrong
ἀδικητέον|one ought to do wrong
ἀδικητής|wronger, injurer
ἀδικητικός|disposed to do wrong
ἀδικία|injustice
ἀδίκιον|a wrong, wrong-dealing
ἀδικοδοξέω|seek fame by unworthy means
ἀδικοδοξία|evil design
ἀδικοκρισία|unjust judgement
ἀδικομαχέω|fight unfairly
ἀδικομαχία|unfair fighting
ἀδικόμαχος|obstinate
ἀδικομήχανος|plotting injustice
ἀδικοπήμων|unjustly harming
ἀδικοπραγέω|act wrongly
ἀδικοπράγημα|wrong action
ἀδικοπραγής|acting wrongly
ἄδικος|wrong-doing, unrighteous, unjust
ἀδικότροπος|of unjust disposition
ἀδικόχειρ|with unrighteous hand
ἀδικοχρήματος|with ill-gotten wealth
ἁδινός|close, thick
ἅδιξις|agreement
ἀδιόδευτος|not to be travelled through
ἀδιοικησία|want of management
ἀδιοίκητος|unarranged
ἀδίοπος|without commander
ἀδιόρατος|not to be seen through
ἀδιοργάνωτος|unorganized
ἀδιόρθωτος|not corrected, not set right
ἀδιοριστία|indefiniteness
ἀδιόριστος|indesignate
ἀδιπλασίαστος|not doubled
ἀδίστακτος|not doubted
ἀδιύλιστος|not strained
ἀδίχαστος|not to be cut in two
ἀδιψέω|to be free from thirst
ἄδιψος|not suffering from thirst
ἀδίωκτος|not to be eliminated, irremovable
ἀδιώμοτος|not feeling bound by an oath
ἀδμενίδες|[lexical cite]
ἀδμής|untamed
Ἀδμήτειος|of Admetus
ἀδμῆτις|virgin
Ἄδμητος|Admetus
ἄδμητος|unbroken
ἀδμολίη|uncertainty
ἄδμωνες|sea-fish
ᾁδόθεν|from the nether world
ἀδοιάστως|without doubt
ἀδόκητος|unexpected
ἀδοκίμαστος|untried, unproved
ἀδόκιμος|not standing the test, spurious
ἀδολεσχέω|to talk idly, prate
ἀδολέσχης|idle talker, talkative person
ἀδολεσχία|garrulity, idle talk
ἀδολεσχικός|prating
ἀδολίευτος|not concealed
ἄδολος|without fraud, guileless
ἁδονά|pleasure
ἀδόνητος|unshaken
ἀδόξαστος|not matter of opinion
ἀδοξέω|to be held in no esteem, to stand in ill repute
ἀδόξημα|disgrace
ἀδοξία|ill-repute, disgrace
ἀδοξοποίητος|not forming notions, unreasoning
ἄδοξος|inglorious, disreputable
ἄδορος|skin
ἄδορπος|without food, fasting
ἀδορυφόρητος|without body-guard
