и	and
приглашение	invitation
пионер	pioneer (Soviet/Russian scouting)
философия	philosophy
двадцатый	20th
низко	low
восемьдесят	80
мышь	mouse
невозможный	impossible
шестнадцать	16
учебник	textbook
котенок	kitten
поворачивать	turn
польский	Polish
оранжевый	orange
эмоция	emotion
тройка	C; grade of C; a three; three-piece suit; troika
мяч	ball
философ	philosopher
аэродром	airfield; airport (the runways; taxi areas; tarmac; etc.)
пропускать	let through; miss; skip
поэзия	poetry
огурец	cucumber
корейский	Korean
партнер	partner
религиозный	religious
конференция	conference
блокнот	notepad
обязательный	obligatory; mandatory
поискать	look for; search
секретарша	secretary; administrative assistant
грамм	gram
капитализм	capitalism
пусто	empty
дорого	dearly; expensively
пошутить	joke; make fun of
скучный	boring
узнавать	recognize; find out
постоять	stand; be standing
миллиард	1,000,000,000
восемнадцать	18
проиграть	lose
икра	caviar
историк	historian
офис	office (general)
касса	checkout; cashier; cash register
переехать	cross; go across (driving); move (change place of residence)
украинский	Ukrainian
поспешить	hurry; be in a hurry
открыто	open
мороженый	ice cream
медсестра	nurse
японец	Japanese
повторяться	be repeated; be reviewed
одеться	get (self) dressed
Канада	Canada
курица	chicken (meat or bird); hen
информационный	information; informational
плакат	poster; placard
успешно	successfully
РФ	Russian Federation (RF)
понедельник	Monday
Польша	Poland
удобно	comfortably; conveniently
недостаточно	not enough; insufficient; insufficiently
конфета	piece of candy; candy; sweets
сажать	seat; set; plant; imprison
бассейн	swimming pool
студенческий	student
кататься	ride
привыкать	get used to; become accustomed to
религия	religion
пятьсот	500
фонтан	fountain
мыть	wash (with water)
сытый	full (from having enough to eat)
груша	pear
прохладный	cool
убирать	clean; tidy up; remove; take away
неправда	untruth; lie
перестройка	rebuilding
регион	region
ссылка	link; reference
мед	honey
